index_name,station_id,station_name,baseline_period,comparison_period,baseline_mean_days,comparison_mean_days,late_minus_baseline_days,expected_direction,direction_consistent
cool_days,40718,Bandar-E-Anzali,1991-2007,2008-2024,32.529411764705884,24.352941176470587,-8.176470588235297,decrease,True
cool_days,40719,Rasht,1991-2007,2008-2024,34.529411764705884,27.764705882352942,-6.764705882352942,decrease,True
cool_days,40723,Bojnurd,1991-2007,2008-2024,34.05882352941177,26.470588235294116,-7.588235294117652,decrease,True
cool_days,40724,Piranshahr,1991-2007,2008-2024,33.529411764705884,22.058823529411764,-11.47058823529412,decrease,True
cool_days,40726,Mahabad,1991-2007,2008-2024,34.05882352941177,22.529411764705884,-11.529411764705884,decrease,True
cool_days,40727,Saqez,1991-2007,2008-2024,33.1764705882353,21.705882352941178,-11.47058823529412,decrease,True
cool_days,40728,Takab,1991-2007,2008-2024,33.588235294117645,19.41176470588235,-14.176470588235293,decrease,True
cool_days,40729,Zanjan,1991-2007,2008-2024,33.64705882352941,17.470588235294116,-16.176470588235297,decrease,True
cool_days,40730,Khorramdareh,1991-2007,2008-2024,35.588235294117645,25.58823529411765,-9.999999999999996,decrease,True
cool_days,40731,Qazvin,1991-2007,2008-2024,34.64705882352941,21.764705882352942,-12.882352941176471,decrease,True
cool_days,40732,Ramsar,1991-2007,2008-2024,33.94117647058823,25.235294117647058,-8.705882352941174,decrease,True
cool_days,40734,Nowshahr,1991-2007,2008-2024,33.88235294117647,25.0,-8.882352941176471,decrease,True
cool_days,40736,Babolsar,1991-2007,2008-2024,34.294117647058826,25.235294117647058,-9.058823529411768,decrease,True
cool_days,40737,Gharakhil,1991-2007,2008-2024,33.88235294117647,27.11764705882353,-6.764705882352942,decrease,True
cool_days,40738,Gorgan,1991-2007,2008-2024,35.0,24.352941176470587,-10.647058823529413,decrease,True
cool_days,40739,Shahrud,1991-2007,2008-2024,34.23529411764706,27.0,-7.235294117647058,decrease,True
cool_days,40740,Quchan,1991-2007,2008-2024,34.35294117647059,32.1764705882353,-2.17647058823529,decrease,True
cool_days,40741,Sarakhs,1991-2007,2008-2024,34.470588235294116,25.58823529411765,-8.882352941176467,decrease,True
cool_days,40742,Biyarjomand,1991-2007,2008-2024,35.0,27.88235294117647,-7.117647058823529,decrease,True
